date,revenue
2023-01-01,24483.570765056164
2023-01-02,19308.67849414408
2023-01-03,23238.442690503463
2023-01-04,27615.149282040125
2023-01-05,18829.23312638332
2023-01-06,18829.315215254097
2023-01-07,29896.064077536957
2023-01-08,25837.173645764546
2023-01-09,17652.62807032524
2023-01-10,22712.800217929824
2023-01-11,17682.91153593769
2023-01-12,17671.351232148714
2023-01-13,21209.81135783017
2023-01-14,12433.598776711011
2023-01-15,13375.410837434836
2023-01-16,17188.562353795136
2023-01-17,14935.844398327881
2023-01-18,21571.23666297637
2023-01-19,15459.879622393946
2023-01-20,12938.481493323543
2023-01-21,29328.243844607772
2023-01-22,20871.11849756732
2023-01-23,20337.64102343962
2023-01-24,12876.259068932715
2023-01-25,17278.086377374086
2023-01-26,20554.61294854933
2023-01-27,14245.032112888486
2023-01-28,23878.49009172836
2023-01-29,18996.806550405974
2023-01-30,18541.531251033615
2023-01-31,16991.466938853016
2023-02-01,29261.39092254469
2023-02-02,19932.51387631033
2023-02-03,14711.445355220498
2023-02-04,26112.724560515944
2023-02-05,
2023-02-06,21044.317975023776
2023-02-07,10201.649380601122
2023-02-08,13359.069755507848
2023-02-09,20984.306179345618
2023-02-10,23692.332899977053
2023-02-11,22856.841405949854
2023-02-12,21421.758588058798
2023-02-13,18494.481522053557
2023-02-14,12607.390048162863
2023-02-15,16400.778958026458
2023-02-16,17696.806145201062
2023-02-17,25285.611131094578
2023-02-18,23718.091447842307
2023-02-19,13184.79922318633
2023-02-20,21620.419846973975
2023-02-21,18074.588597918417
2023-02-22,16615.389998470208
2023-02-23,23058.38144420434
2023-02-24,25154.997612479754
2023-02-25,26656.40059558099
2023-02-26,17803.912383886807
2023-02-27,18453.938120743926
2023-02-28,21656.31715701782
2023-03-01,24877.725635611794
2023-03-02,17604.12881077355
2023-03-03,19071.705116680914
2023-03-04,
2023-03-05,16018.966879596646
2023-03-06,24062.62911197099
2023-03-07,26781.200142854115
2023-03-08,19639.94939209833
2023-03-09,25017.66448946012
2023-03-10,21808.18012523817
2023-03-11,18774.40122697438
2023-03-12,23806.97802754207
2023-03-13,27690.182832329847
2023-03-14,19820.86980445024
2023-03-15,27823.21827907003
2023-03-16,6901.274479551279
2023-03-17,24109.51252187612
2023-03-18,22435.235341190855
2023-03-19,20504.96324767066
2023-03-20,20458.803882677512
2023-03-21,10062.155426995536
2023-03-22,18901.64056081244
2023-03-23,21785.562857558733
2023-03-24,27389.47022370758
2023-03-25,19408.648908631763
2023-03-26,17957.531985534064
2023-03-27,17491.214782077317
2023-03-28,24577.01058851037
2023-03-29,21643.75554829842
2023-03-30,17351.198981164805
2023-03-31,22566.33716556678
2023-04-01,22485.3877467402
2023-04-02,26843.224952664445
2023-04-03,16489.734530613237
2023-04-04,18361.68926701116
2023-04-05,18039.45923433921
2023-04-06,12682.425259339407
2023-04-07,21480.60138532288
2023-04-08,23305.276360899446
2023-04-09,22025.567283212305
2023-04-10,18827.064333124265
2023-04-11,12923.146289747929
2023-04-12,17896.773386173205
2023-04-13,18286.427417366154
2023-04-14,15988.613653891905
2023-04-15,21193.571441669956
2023-04-16,24020.254284072693
2023-04-17,29430.92950605265
2023-04-18,20872.889064159193
2023-04-19,21287.75195361382
2023-04-20,19627.770421169163
2023-04-21,10406.143923504793
2023-04-22,21867.430622753916
2023-04-23,22301.15104970513
2023-04-24,32316.21056242643
2023-04-25,19038.19517609439
2023-04-26,21507.73671166806
2023-04-27,19826.441151473784
2023-04-28,14156.60981190234
2023-04-29,27714.114072575103
2023-04-30,25759.66516343387
2023-05-01,23955.159735215235
2023-05-02,15453.062726026306
2023-05-03,27013.971554680495
2023-05-04,12990.744686038595
2023-05-05,22934.285469001352
2023-05-06,32952.2781290499
2023-05-07,17047.318374346556
2023-05-08,17168.51135198614
2023-05-09,
2023-05-10,17482.621729419003
2023-05-11,12246.682844669336
2023-05-12,20342.814874030137
2023-05-13,16688.481431369477
2023-05-14,24367.962153175908
2023-05-15,15402.878828830984
2023-05-16,27749.672025087697
2023-05-17,16083.733538318815
2023-05-18,18389.692418971623
2023-05-19,24067.58608684835
2023-05-20,15845.678417830224
2023-05-21,23137.299673020647
2023-05-22,26535.71377141214
2023-05-23,11962.583827193863
2023-05-24,20923.16929266152
2023-05-25,21299.413971242117
2023-05-26,23909.114358886553
2023-05-27,15815.246445609591
2023-05-28,15397.716934578619
2023-05-29,22609.707828084487
