SalePrice,LotArea,NegSkewIncome,HouseAge,MixedFeature,Rooms,Neighborhood,Condition,Description,SaleDate
208638.23048684612,1418.427152362274,-15593.39269015522,18.859186417669125,-0.3302526371956056,5,C,Excellent,modern spacious modern renovated corner lot modern renovated,2018-07-05
151883.31634643575,2542.8212252233247,-21753.253345280868,23.6906916626221,-5.036502603755963,7,E,Poor,modern garden modern luxury cozy,2008-08-22
224997.43228400403,1246.803165637772,-22185.77837448537,20.57939816425755,-1.7237495745366196,3,B,Excellent,renovated spacious renovated modern garden quiet luxury central,2018-05-22
348542.3170979205,2124.3949627323877,-26610.260097140508,24.520041812588623,7.147317275176998,5,B,Fair,corner lot corner lot quiet cozy cozy luxury central,2018-05-30
144773.14986612904,371.30501450266513,-12749.618832986678,27.858496892888112,12.77856655030514,8,B,Fair,garden cozy luxury central spacious corner lot,2008-05-06
144774.338297446,3769.218928131773,-27917.999678000153,38.371544863313844,5.704873308635735,4,D,Good,renovated garden central bright spacious luxury cozy,2004-01-07
358472.20611784136,2984.9134275145893,-7466.960845567907,26.788409612942974,1.0172320847176979,5,E,Poor,bright modern luxury modern bright luxury bright spacious renovated,2005-07-17
238880.17959087272,1213.4253485751658,-17120.745238841457,14.143742932304074,14.980117703044275,1,E,Poor,spacious quiet modern luxury central quiet luxury quiet modern garden cozy,2013-05-01
128703.01334607329,6155.924529853313,-18118.530227226373,41.4006784649516,-3.128364730515222,5,C,Fair,luxury central renovated central spacious corner lot spacious renovated corner lot spacious luxury,2019-02-26
213476.07015652393,8360.948456593469,-28376.900497563754,21.629098663849604,10.30919338366907,6,A,Good,spacious quiet luxury corner lot bright modern,2010-06-14
129093.3614302812,508.61133997684595,-22226.762083153728,29.412795728953714,-2.8806279835127864,3,B,Excellent,corner lot spacious renovated renovated quiet modern bright renovated quiet cozy bright,2015-01-11
128944.21181011014,1288.202021785593,-12553.75092583831,34.46536506940711,4.310229580108931,6,B,Excellent,modern central cozy luxury corner lot renovated,2007-05-22
183685.64708405218,1279.1402035488811,-14853.677396071736,31.99610418402783,-1.1356256479045148,5,C,Fair,spacious luxury luxury spacious garden,2002-03-02
62527.383618811975,1060.0873493734016,-23848.390358254004,40.941795475214754,-0.5585218265281087,5,E,Fair,corner lot renovated corner lot quiet central,2001-04-20
68702.51484614842,7423.621769150778,-21340.737062150947,34.79003143392759,-3.7738651746220993,6,D,Excellent,cozy modern renovated bright bright quiet luxury modern,2001-05-18
122866.81408583872,2408.5766427714425,-17471.92098482456,21.38690420302892,13.448540311806944,6,E,Excellent,cozy corner lot luxury bright quiet quiet quiet modern modern spacious garden,2016-05-02
98084.48124641272,2228.387869540777,-18172.53167172239,51.78562173991662,-7.3292603810853505,7,D,Excellent,corner lot central quiet cozy corner lot luxury spacious,2000-08-18
190445.9423899693,328.89922575635285,-29099.23601001929,31.94333463338233,-7.402322525487084,6,D,Good,luxury bright luxury corner lot luxury garden corner lot spacious,2004-05-05
103361.51353460719,5996.671433740791,-17906.570129996297,28.52659773378494,21.209935658451094,5,E,Poor,bright renovated modern central renovated,2004-11-09
80325.96112235193,762.6626259394135,-21263.84522916441,39.63925423055571,9.778475646543313,6,B,Fair,quiet central bright bright spacious corner lot renovated bright central,2008-06-17
338684.5372262934,3184.1029923762453,-52468.83405354965,32.49450945930072,-23.851136986930364,6,D,Fair,bright garden modern spacious spacious,2018-09-16
145380.8092917307,4044.5057403467586,-12463.092368870424,33.99228192939327,-5.652587392104036,5,C,Good,spacious cozy spacious quiet quiet garden quiet,2006-03-06
168343.88526106198,13316.038040239064,-10501.389989852772,54.92183998600687,-18.119893375620542,10,C,Excellent,central quiet renovated spacious central luxury central corner lot garden,2010-11-14
79827.70526003327,706.4818847558134,-30134.798096245642,27.248785717449532,-9.506906934152552,4,D,Good,spacious central corner lot corner lot garden central spacious garden corner lot bright bright,2011-07-28
123971.70557924228,107.6124802652703,-16790.06758678289,26.822391059826042,-31.385146662340397,8,B,Excellent,cozy garden corner lot spacious corner lot renovated garden renovated,2013-03-31
172036.38856687283,3649.095104369595,-19393.727904834635,31.16578512012464,-1.3698957769394238,6,D,Fair,garden spacious spacious luxury modern spacious renovated garden,2001-01-18
91537.42749496213,21602.456189016193,-16115.510120309276,40.715159355810385,-11.419418191613115,4,C,Poor,corner lot luxury modern cozy quiet,2008-08-29
196388.2820002786,11647.431798757627,-19852.39519741296,14.93465969809601,0.5990525679643839,5,C,Good,garden central central renovated quiet,2015-07-03
120533.21716439296,3754.1807206171293,-41748.35151540637,10.344441085234948,-16.251212588825247,4,E,Excellent,renovated corner lot garden quiet spacious bright luxury central garden cozy garden,2006-08-06
140667.34478760202,1735.759234512011,-30359.093826351862,24.128847293798525,0.8291185317203993,6,B,Fair,spacious modern renovated spacious spacious bright corner lot renovated cozy corner lot,2002-01-30
120468.87428833144,7243.319366162402,-31097.708219315806,13.660770409407128,-4.149162781203273,2,E,Poor,luxury modern renovated renovated modern spacious central garden,2014-05-10
410913.94510729,1021.5733116684706,-12500.315683893044,25.751686524743615,15.019529651885957,2,A,Good,garden renovated cozy corner lot bright spacious cozy modern central modern bright,2010-10-27
161660.12033056625,5034.117648957941,-13898.532046534348,35.0249969612929,14.113568617456249,9,D,Good,spacious quiet quiet luxury garden modern spacious quiet,2002-07-31
95907.98637151149,5197.937415842635,-7075.3241393127655,21.092511364477364,0.0,1,E,Fair,quiet central renovated cozy modern garden,2007-05-19
245554.07237842065,9568.492018904548,-15934.592781744188,15.731734232186575,-3.266137806612126,3,B,Good,garden modern corner lot spacious bright luxury spacious,2003-07-20
88395.66199920737,62045.67229803894,-32295.438442728126,30.69337161715348,19.853803952602934,4,D,Fair,central corner lot spacious central bright garden,2006-07-30
180670.78695224866,4590.1021784023105,-27086.171673888126,38.625434846151705,-15.530352778398207,3,D,Good,corner lot modern cozy corner lot garden cozy,2005-11-17
61093.755465339345,1702.9886428314542,-20158.769725838916,13.050265614833872,-14.035586295636627,2,D,Poor,renovated cozy luxury bright spacious central bright bright,2018-10-27
