LotArea,SalePrice,Rooms,HasGarage,NoiseFeature,Neighborhood,Condition,Description,SaleDate,ImagePath
2346,271382.68241591426,4,1,-1.8386127764956959,D,Good,cozy garage beautiful view luxury sunny,2009-06-13,house_images/img_0.png
15050,551212.7904622112,7,0,-1.3543789299543936,B,Fair,luxury garden big kitchen bright quiet sunny bright luxury luxury modern,2003-07-24,house_images/img_1.png
6583,325180.7333161025,6,0,-1.1166740667101471,C,Fair,central bright big kitchen spacious garden sunny cozy,2007-04-07,house_images/img_2.png
4564,215767.03436805092,7,1,0.6509221580409689,A,Excellent,modern quiet garden bright modern,2003-12-25,house_images/img_3.png
848,219120.5186347959,5,0,0.7246231467643945,A,Poor,beautiful view spacious central luxury renovated beautiful view big kitchen,2003-02-12,house_images/img_4.png
847,249373.6814989806,4,0,-0.8817991044667711,C,Fair,luxury beautiful view garden cozy big kitchen modern,2015-11-25,house_images/img_5.png
299,237866.36298571172,7,1,-2.663654140437395,C,Good,luxury garden garage garage garden sunny garage garage modern beautiful view bright,2008-09-27,house_images/img_6.png
10056,187324.1302056207,7,1,0.009120719501876304,A,Excellent,renovated cozy bright near school modern sunny central modern big kitchen renovated sunny garage,2012-08-25,house_images/img_7.png
4595,171459.1889520858,6,0,-0.42154221565931843,D,Fair,spacious garage luxury central modern modern,2016-09-29,house_images/img_8.png
6156,157740.0077447593,8,1,-0.4462624867001313,A,Fair,garage modern garage luxury quiet renovated sunny sunny luxury garage sunny central,2013-09-03,house_images/img_9.png
103,111638.10413628518,4,0,0.9559374757643647,C,Good,luxury sunny cozy cozy luxury modern beautiful view near school modern cozy garden,2006-01-19,house_images/img_10.png
175170,141444.46726838697,5,1,0.13865262547285237,D,Fair,spacious sunny bright near school modern big kitchen modern sunny sunny,2013-05-14,house_images/img_11.png
8932,69809.23544072884,4,1,-0.9763796485200793,B,Fair,bright garden modern quiet beautiful view central quiet central sunny central,2010-04-17,house_images/img_12.png
1193,154945.7270626907,1,0,-1.2064130339590495,A,Fair,renovated spacious beautiful view luxury beautiful view sunny big kitchen renovated,2008-04-17,house_images/img_13.png
1003,99280.49903674632,8,0,-0.2626113569849563,C,Fair,garage spacious modern garden spacious big kitchen beautiful view central cozy cozy luxury central,2003-09-22,house_images/img_14.png
1013,93732.97631701708,1,0,-0.906412762189642,B,Good,modern big kitchen renovated central luxury luxury garden spacious beautiful view,2006-08-23,house_images/img_15.png
1813,178072.68267705577,5,0,-0.07239762402761732,A,Fair,big kitchen big kitchen big kitchen near school renovated luxury central luxury,2011-09-08,house_images/img_16.png
3719,326439.9019338872,6,0,1.026142044401966,A,Fair,central quiet modern garage beautiful view big kitchen quiet near school spacious beautiful view luxury,2013-12-13,house_images/img_17.png
2827,257598.71967678214,6,0,-1.3797824115994501,D,Fair,cozy bright garden modern quiet big kitchen big kitchen bright,2016-03-03,house_images/img_18.png
1721,74217.08792957912,5,1,0.08777943480896865,C,Excellent,quiet cozy bright garage big kitchen quiet cozy,2000-03-04,house_images/img_19.png
4731,99229.0339814555,3,1,0.9150499826693897,B,Good,big kitchen near school luxury central renovated cozy spacious,2003-09-07,house_images/img_20.png
751,260507.15181790388,5,1,-0.08618733581810893,A,Excellent,bright garden bright cozy bright beautiful view sunny quiet,2002-09-01,house_images/img_21.png
1727,99583.95171500006,8,0,0.7215808951176532,D,Excellent,bright beautiful view renovated beautiful view garden garage sunny,2011-05-24,house_images/img_22.png
2281,145463.92911573834,2,1,-0.28727249211546224,B,Good,garden bright big kitchen cozy modern renovated garage garden,2016-04-28,house_images/img_23.png
3044,214277.25713013904,6,1,0.1708280794236369,B,Excellent,bright bright garden cozy garden beautiful view big kitchen spacious spacious,2009-12-07,house_images/img_24.png
7689,100290.65233701524,9,1,0.44078493234217647,A,Excellent,near school spacious quiet spacious beautiful view modern renovated modern quiet,2004-06-10,house_images/img_25.png
1113,171559.89954172703,8,0,-0.5720024382631347,B,Excellent,garden bright beautiful view big kitchen cozy beautiful view sunny central bright central,2001-04-02,house_images/img_26.png
3610,83532.18223229275,8,0,1.9906760171899993,A,Good,central central big kitchen sunny renovated beautiful view central spacious bright,2015-08-08,house_images/img_27.png
4487,120489.2935821018,8,1,0.5775801803319217,D,Fair,central quiet luxury beautiful view big kitchen,2018-01-22,house_images/img_28.png
237,190973.69347988884,7,0,1.302985498716921,D,Poor,sunny central spacious big kitchen luxury near school beautiful view renovated garden garage beautiful view,2009-02-12,house_images/img_29.png
4676,73387.07676536014,8,1,1.071023946360768,B,Poor,big kitchen modern spacious garage central central bright quiet bright cozy quiet luxury,2016-07-28,house_images/img_30.png
934,202853.10369885014,6,1,0.3272892692834113,A,Good,garage sunny sunny spacious garage sunny,2004-10-06,house_images/img_31.png
336,161164.53852795353,2,0,1.3857894223598075,C,Poor,bright bright sunny near school modern beautiful view modern garage renovated luxury sunny,2015-03-08,house_images/img_32.png
14868,214538.60486317798,2,1,0.18791471119191736,D,Good,luxury modern beautiful view sunny garden spacious modern garage central,2008-04-14,house_images/img_33.png
16853,182035.51184124316,8,0,-0.7297752831743629,A,Good,cozy garden garage near school garage bright luxury sunny quiet,2016-07-30,house_images/img_34.png
8261,321923.82074096636,1,1,0.014819231562963215,A,Poor,big kitchen bright garden central central renovated big kitchen central luxury beautiful view,2017-04-22,house_images/img_35.png
1816,173271.0224379353,6,1,-1.0061669124151313,A,Excellent,garage luxury renovated garden luxury central central bright,2005-05-08,house_images/img_36.png
